node_a,node_b,weight,type,name
Circulation_013,Door_136,11.221831,access,Circulation_013--Door_136
Circulation_013,Door_140,2.438645,access,Circulation_013--Door_140
Circulation_013,Door_060,12.010604,access,Circulation_013--Door_060
Circulation_013,Door_137,8.471785,access,Circulation_013--Door_137
Circulation_013,Door_138,5.807001,access,Circulation_013--Door_138
Circulation_013,Door_128,5.628015,access,Circulation_013--Door_128
Circulation_013,Door_129,3.119804,access,Circulation_013--Door_129
Circulation_013,Door_139,3.432183,access,Circulation_013--Door_139
Circulation_013,Door_132,6.368671,access,Circulation_013--Door_132
Circulation_013,Door_145,14.778696,access,Circulation_013--Door_145
Circulation_013,Door_144,11.987506,access,Circulation_013--Door_144
Circulation_013,Door_135,14.709288,access,Circulation_013--Door_135
Circulation_013,Door_142,6.527379,access,Circulation_013--Door_142
Circulation_013,Door_011,15.262507,access,Circulation_013--Door_011
Parking_47,Door_130,2.798484,access,Parking_47--Door_130
Parking_44,Door_133,2.798484,access,Parking_44--Door_133
Parking_43,Door_134,2.798484,access,Parking_43--Door_134
Parking_32,Door_144,2.798469,access,Parking_32--Door_144
POWER PLANT,Door_021,3.508373,access,POWER PLANT--Door_021
Parking_35,Door_141,2.798469,access,Parking_35--Door_141
Stair_02_Tower_02,Door_044,1.746727,access,Stair_02_Tower_02--Door_044
Parking_49,Door_128,2.798484,access,Parking_49--Door_128
Parking_36,Door_140,2.79847,access,Parking_36--Door_140
Circulation_001,Door_051,17.173797,access,Circulation_001--Door_051
Circulation_001,Door_055,3.144975,access,Circulation_001--Door_055
Circulation_001,Window_032,26.355749,access,Circulation_001--Window_032
Circulation_001,Door_049,26.249515,access,Circulation_001--Door_049
Circulation_001,Door_013,22.33608,access,Circulation_001--Door_013
Circulation_001,Door_046,25.604889,access,Circulation_001--Door_046
Circulation_001,Door_042,14.426615,access,Circulation_001--Door_042
Circulation_001,Door_008,0.719975,access,Circulation_001--Door_008
Circulation_001,Door_007,1.676337,access,Circulation_001--Door_007
Circulation_001,Door_052,14.50862,access,Circulation_001--Door_052
Circulation_001,Door_044,11.895606,access,Circulation_001--Door_044
Circulation_001,Door_058,21.351285,access,Circulation_001--Door_058
Circulation_001,Door_038,19.709263,access,Circulation_001--Door_038
Circulation_001,Door_057,18.989719,access,Circulation_001--Door_057
Circulation_001,Door_053,9.02974,access,Circulation_001--Door_053
Circulation_001,Door_039,14.747917,access,Circulation_001--Door_039
Circulation_001,Door_002,9.575824,access,Circulation_001--Door_002
Circulation_001,Door_045,15.10433,access,Circulation_001--Door_045
Circulation_001,Door_041,18.425083,access,Circulation_001--Door_041
